2024-04-03 09:45:04.6481 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-03 09:45:06.5313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-03 09:45:06.5313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-03 09:45:06.5313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 1 with length 989 and flags NONE.
2024-04-03 09:45:06.5313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-03 09:45:06.5313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-03 09:45:06.5896 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-03 09:45:07.3867 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-03 09:45:07.3867 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-03 09:45:07.4869 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-03 09:45:07.4954 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-03 09:45:07.5166 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-04-03 09:45:07.5298 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 3 with length 11984 and flags NONE.
2024-04-03 09:45:07.6478 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.7249 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8278 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-04-03 09:45:07.8560 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-04-03 09:45:08.0061 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-03 09:45:08.0061 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-03 09:45:08.3326 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS.
2024-04-03 09:45:08.3326 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 7 with length 3062 and flags NONE.
2024-04-03 09:45:08.3326 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VH" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-04-03 09:45:13.6571 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-03 09:45:13.6571 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-03 09:45:13.6571 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-03 09:45:13.6571 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-03 09:45:13.6571 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-03 09:45:13.6571 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" received HEADERS frame for stream ID 1 with length 392 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-03 09:45:13.6571 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-03 09:45:13.6571 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-03 09:45:13.8879 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-03 09:45:13.8879 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-03 09:45:13.8879 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-03 09:45:13.8879 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-03 09:45:13.9054 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Logging.Controllers.CLStationary.DeleteItem (Logging) with arguments (1)
2024-04-03 09:45:14.0902 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-03 09:45:14.0902 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-03 09:45:14.0902 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-03 09:45:14.0902 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-03 09:45:14.0902 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-03 09:45:14.0902 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-03 09:45:14.0902 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-04-03 09:45:14.4823 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" sending HEADERS frame for stream ID 1 with length 80 and flags END_HEADERS.
2024-04-03 09:45:14.4823 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" sending DATA frame for stream ID 1 with length 151 and flags NONE.
2024-04-03 09:45:14.4823 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-04-03 09:45:14.4823 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-03 09:45:14.4823 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-03 09:45:14.4823 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIIGER6VI" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-03 09:49:38.9933 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-03 09:49:39.0081 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-03 09:49:39.0081 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-03 09:49:39.0081 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-03 09:49:39.0081 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-03 09:49:39.0081 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-03 09:49:39.0520 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-03 09:49:39.0834 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-03 09:49:39.4889 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-03 09:49:39.7857 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JIL2MQBU7" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
