2024-04-29 11:02:27.8854 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-29 11:02:30.8473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-29 11:02:30.8473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-29 11:02:30.8676 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4S" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-29 11:02:34.8617 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-29 11:02:34.8617 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:02:34.8617 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-29 11:02:34.8617 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-29 11:02:34.8617 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:02:34.8617 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" received HEADERS frame for stream ID 1 with length 369 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-29 11:02:34.8800 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" received HEADERS frame for stream ID 3 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-29 11:02:34.8800 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-29 11:02:34.9041 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-29 11:02:34.9313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-29 11:02:34.9432 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending HEADERS frame for stream ID 1 with length 98 and flags END_HEADERS.
2024-04-29 11:02:34.9432 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 1 with length 11990 and flags NONE.
2024-04-29 11:02:34.9432 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending HEADERS frame for stream ID 3 with length 149 and flags END_HEADERS.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 9986 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0382 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0451 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 10240 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 9517 and flags NONE.
2024-04-29 11:02:35.0791 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-04-29 11:02:35.1881 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" received HEADERS frame for stream ID 5 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-29 11:02:35.1881 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-29 11:02:35.7158 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending HEADERS frame for stream ID 5 with length 35 and flags END_HEADERS.
2024-04-29 11:02:35.7163 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 5 with length 13177 and flags NONE.
2024-04-29 11:02:35.7163 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4T" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-04-29 11:03:00.9049 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-29 11:03:00.9049 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:03:00.9049 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-29 11:03:00.9049 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-29 11:03:00.9049 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:03:00.9049 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" received HEADERS frame for stream ID 1 with length 375 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-29 11:03:00.9049 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-29 11:03:00.9049 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-29 11:03:01.0687 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-29 11:03:01.4201 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-29 11:03:01.4201 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-29 11:03:01.4201 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-29 11:03:01.5473 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-29 11:03:01.5473 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-29 11:03:01.5473 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-29 11:03:01.5473 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-29 11:03:01.5613 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method BillingAPI.Controllers.CLBIL01Controller.GetBill (BillingAPI) with arguments (1)
2024-04-29 11:03:42.7895 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-29 11:03:42.7895 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-29 11:03:42.7895 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-29 11:03:42.7895 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-29 11:03:43.1635 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-04-29 11:03:43.1635 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" sending DATA frame for stream ID 1 with length 3182 and flags NONE.
2024-04-29 11:03:43.1635 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-29 11:03:43.1635 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4U" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:04:03.8220 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4V" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-29 11:04:03.8220 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4V" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:04:03.8220 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4V" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-29 11:04:03.8220 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4V" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-29 11:04:03.8220 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4V" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-29 11:04:03.8220 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN381MVUDA4V" received HEADERS frame for stream ID 1 with length 375 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-29 11:04:03.8220 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
