2024-06-07 10:32:25.4403 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-06-07 10:32:26.9253 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0078 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0209 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0477 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0477 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 9517 and flags NONE.
2024-06-07 10:32:27.0480 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2024-06-07 10:32:27.3260 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" received HEADERS frame for stream ID 7 with length 74 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-07 10:32:27.3260 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-07 10:32:27.9428 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending HEADERS frame for stream ID 7 with length 65 and flags END_HEADERS.
2024-06-07 10:32:27.9428 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 7 with length 15554 and flags NONE.
2024-06-07 10:32:27.9428 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EO" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-06-07 10:33:07.4399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-06-07 10:33:07.4399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-07 10:33:07.4399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-06-07 10:33:07.4399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-07 10:33:07.4399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-07 10:33:07.4399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" received HEADERS frame for stream ID 1 with length 419 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-07 10:33:07.4399 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-07 10:33:07.4399 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-07 10:33:07.6228 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-07 10:33:07.6275 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-07 10:33:07.6275 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-07 10:33:07.6275 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-07 10:33:07.6275 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method BillingAPI.Controllers.CLLogin.GenerateToken (BillingAPI) with arguments (krinsi, 123)
2024-06-07 10:33:10.2794 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-07 10:33:10.2794 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-07 10:33:10.2794 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-07 10:33:10.2794 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-07 10:33:10.2794 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-06-07 10:33:10.2794 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-06-07 10:33:10.2794 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-06-07 10:33:10.2848 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-06-07 10:33:10.2848 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" sending DATA frame for stream ID 1 with length 197 and flags NONE.
2024-06-07 10:33:10.2848 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-06-07 10:33:10.2848 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-06-07 10:33:10.2848 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-06-07 10:33:10.2848 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-06-07 10:33:42.8877 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" received HEADERS frame for stream ID 3 with length 234 and flags END_HEADERS, PRIORITY.
2024-06-07 10:33:42.8877 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" received PING frame for stream ID 0 with length 8 and flags NONE.
2024-06-07 10:33:42.8877 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" sending PING frame for stream ID 0 with length 8 and flags ACK.
2024-06-07 10:33:42.8877 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN46LS28Q1EP" received DATA frame for stream ID 3 with length 56 and flags END_STREAM.
2024-06-07 10:33:42.8877 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-07 10:33:43.0041 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-07 10:33:43.0041 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-07 10:33:43.0041 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-07 10:33:43.0041 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-07 10:33:43.0041 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method BillingAPI.Controllers.CLPRO01Controller.AddProduct (BillingAPI) with arguments (BillingAPI.Models.POCO.DTOPRO01)
